,0,1,2,3,4,5,6,7,8,9,10,11
40,2353199,Zorga	Zorga		13.02002	-0.66817	P	PPL	BF		05	64			0		304	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
41,2353200,"Zore	Zore	Zore,Zorre	12.28333	-0.45	P	PPL	BF		04				0		320	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
42,2353201,Zorbo	Zorbo		13.5327	-0.97824	P	PPL	BF		05	70			0		298	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
43,2353202,Zoongo	Zoongo		12.85	-0.58333	P	PPL	BF		05				0		309	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
44,2353203,Zonzo	Zonzo		10.16667	-2.9	P	PPL	BF		13				0		317	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
45,2353204,Zontibé	Zontibe		13.41516	-1.25175	P	PPL	BF		05	70			0		365	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
46,2353205,"Zonsé	Zonse	Zonse,Zonsé	11.37	-0.615	P	PPL	BF		04	49			0		245	Africa/Ouagadougou	2019-02-21",,,,,,,,,,
47,2353206,Zono	Zono		10.41667	-3.56667	P	PPL	BF		13				0		348	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
48,2353207,Zonkom	Zonkom		14.60803	0.04339	S	CMP	BF		12	33			0		310	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
49,2353208,Zonkin	Zonkin		12.98639	-0.9914	P	PPL	BF		05				0		314	Africa/Ouagadougou	2018-09-05,,,,,,,,,,
50,2353209,Zongpiguen	Zongpiguen		12.25	-0.78333	P	PPL	BF		11				0		301	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
51,2353210,Zongoy	Zongoy		14.46808	-0.11281	S	CMP	BF		12	33			0		279	Africa/Ouagadougou	2013-09-06,,,,,,,,,,
52,2353211,Zongowaétan	Zongowaetan		13.79124	0.54774	P	PPL	BF		12	75			0		262	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
53,2353212,Zongopika	Zongopika		12.21667	-0.63333	T	HLL	BF		11				0		307	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
54,2353213,Zongo	Zongo		13.4246	-1.22507	P	PPL	BF		05	70			0		347	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
